"ID1","ID2","Dist","DistM","BC_d110000_p0.5_beta0_Ajaponicus"
"60","81","634498.1523219745","634498.1523219745","0.018348869364635083"
"60","80","715511.8031870609","715511.8031870609","0.011052323709703384"
"60","89","561887.2573746443","561887.2573746443","0.02899472014691285"
"60","70","747251.4487774511","747251.4487774511","0.0090166360895566"
"60","67","723755.6055050624","723755.6055050624","0.01089285329387769"
"60","105","1054492.6653135137","1054492.6653135137","0.001300879495802009"
"60","68","646020.1359090904","646020.1359090904","0.01706388163350817"
"60","118","728655.3921436372","728655.3921436372","0.010137600811976363"
"60","115","797835.9743706713","797835.9743706713","0.006555609739297343"
"60","113","717346.7490690945","717346.7490690945","0.010886363448599373"
"60","112","562883.982095777","562883.982095777","0.028813183711118694"
"60","99","600078.4175422402","600078.4175422402","0.02279311098421261"
"60","95","399584.30399603985","399584.30399603985","0.0806274786810555"
"60","94","552529.7928618867","552529.7928618867","0.03075579083244196"
"60","91","507792.78697122063","507792.78697122063","0.04077141779726127"
"60","90","570364.3705562257","570364.3705562257","0.027486544500691146"
"60","87","596991.9798456253","596991.9798456253","0.023240745915178815"
"60","117","701014.6611876229","701014.6611876229","0.0120664026768477"
"60","119","678386.8017584053","678386.8017584053","0.014055529855551448"
"60","109","580397.2895353653","580397.2895353653","0.025802613374460832"
"60","69","2440.0","2440.0","0.9847423311894818"
"60","61","46554.09434195879","46554.09434195879","0.7457587787355918"
"60","64","124846.69839447076","124846.69839447076","0.4553443899245599"
"60","86","533785.7562730572","533785.7562730572","0.034611666468548165"
"60","84","431407.41034432827","431407.41034432827","0.06597734123780602"
"60","82","558757.2868428648","558757.2868428648","0.02984742748167511"
"60","79","428383.67254133255","428383.67254133255","0.06724649932210938"
"60","77","461983.1023966132","461983.1023966132","0.054415203892992925"
"60","72","413649.90861838683","413649.90861838683","0.07466665932625356"
"60","88","142800.0","142800.0","0.40663834852306335"
"60","71","349018.13491565135","349018.13491565135","0.1108828280893184"
