"ID1","ID2","Dist","DistM","BC_d110000_p0.5_beta0_Cauriga"
"79","115","412140.6654286852","412140.6654286852","0.0760119531898547"
"79","113","354578.8833249937","354578.8833249937","0.10706476007035064"
"79","112","225389.71427285628","225389.71427285628","0.2416519593513382"
"79","99","162498.29814493423","162498.29814493423","0.3591709924275049"
"79","95","146801.7455618289","146801.7455618289","0.3978288423272329"
"79","94","126566.60262486288","126566.60262486288","0.4504361500418503"
"79","91","77740.80267144124","77740.80267144124","0.6170790421321293"
"79","90","116068.71973102831","116068.71973102831","0.4812404513905776"
"79","87","141020.784283736","141020.784283736","0.4112230020719549"
"79","117","594185.1793001897","594185.1793001897","0.023655452229099365"
"79","119","606218.785670651","606218.785670651","0.022000821935413153"
"79","109","607924.8908376752","607924.8908376752","0.021693551708713513"
"79","86","79004.3119076421","79004.3119076421","0.607846513863019"
"79","84","1704.2593699317015","1704.2593699317015","0.9926239645460486"
"79","82","106523.74758709909","106523.74758709909","0.5110733591431028"
"79","88","58296.583947946725","58296.583947946725","0.6953452080715787"
"80","116","511444.40215921693","511444.40215921693","0.03984397612877345"
"80","114","476517.8096356938","476517.8096356938","0.049652835320924196"
"80","107","352516.105305842","352516.105305842","0.1084654996903987"
"80","108","198555.0079952652","198555.0079952652","0.28617200925679376"
"80","111","288272.9957869792","288272.9957869792","0.16259292667575495"
"80","101","212249.4808003068","212249.4808003068","0.2625127255269245"
"80","100","195871.94413697897","195871.94413697897","0.2910514201944845"
"80","102","198534.1502109899","198534.1502109899","0.28795133166024733"
"80","97","132994.85591555768","132994.85591555768","0.43255510943774206"
"80","103","130747.85810865102","130747.85810865102","0.4387232619935897"
"80","92","127389.14553446042","127389.14553446042","0.4481075250054757"
"80","93","136915.3431869488","136915.3431869488","0.4272227261232606"
"80","96","100013.41709990705","100013.41709990705","0.5324755243107495"
"80","85","25867.533705399903","25867.533705399903","0.8522798189245272"
"80","83","25563.890548975523","25563.890548975523","0.8563982810427166"
"80","81","66918.60428909126","66918.60428909126","0.6559460433219537"
"80","89","112662.1320586468","112662.1320586468","0.4934394914755723"
"80","110","557953.61429065","557953.61429065","0.029722399818233932"
"80","105","320318.29794752557","320318.29794752557","0.13286338427460198"
"80","104","517188.2430991636","517188.2430991636","0.03842765362724561"
"80","106","446209.5543575906","446209.5543575906","0.06010169570533679"
"80","98","853352.7268955078","853352.7268955078","0.008913507198356789"
