"Id","Area","Perim","Capacity","BC_d110000_p0.5_beta0_Clunulatus","BC_d110000_p0.5_beta1_Clunulatus","CCe_Clunulatus","comp_Clunulatus","BC_d110000_p0.5_beta0_Cvroliki","BC_d110000_p0.5_beta0_Daruanus","BC_d110000_p0.5_beta0_Pcoelestis","BC_d110000_p0.5_beta0_Cauriga","BC_d110000_p0.5_beta0_Ajaponicus","BC_d110000_p0.5_beta0_Cstriatus","BC_d110000_p0.5_beta0_Lkasmira","BC_d110000_p0.5_beta0_Nplicata"
"32","5.182926E8","113300.0","5.182926E8","0.014529300198728987","5.211028097487034E15","1199631.529628754","1.0","0.07297436538067523","0.04618641762651601","0.0","0.01443414801930408","0.00291633552588197","2.197856095103299E-4","0.0024875440096819965","0.0"
"33","4.747386E8","106040.0","4.747386E8","0.0","0.0","1308377.8678234054","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"34","5.255516E8","108240.0","5.255516E8","0.013798312796351225","2.8015427497116604E16","1122477.999898297","1.0","0.0448381638992166","0.2746795234508619","0.0386926103205919","0.004923628444364508","0.00857103746491798","0.01790185497400494","0.011763355848248905","0.0"
"35","4.282809999999975E8","116099.99999999953","4.282809999999975E8","0.023673060296417907","1.9397440930514204E16","879303.919060035","1.0","0.35365048304671615","0.5778573076261528","0.02012538161461092","0.011285974195816475","0.0","7.418358582490351E-4","7.418358582490351E-4","0.0"
"36","9.85772199999986E8","156139.9999999993","9.85772199999986E8","0.12069906303348445","1.58574658979824928E17","832434.2485564934","1.0","0.3216150655215208","0.04225353813537306","0.07773328144458602","0.0507641429882558","0.010543584852748164","0.013978594346265518","0.013254650684634746","0.0"
"37","1.538908E9","224100.0","1.538908E9","0.13550824839693834","8.9246081100401968E16","840309.3283900874","1.0","0.20797571044932459","0.0","0.15213509427980948","0.027017081183541715","0.006955732045298716","0.009412251515387486","0.008154456091833058","0.0"
"38","8.24622399999999E8","136919.99999999977","8.24622399999999E8","0.07770135194369233","1.95672173026723552E17","816361.1112350319","1.0","0.293970982663441","0.0","0.08184434704517703","0.03567507394596905","0.01300204321154928","0.02583383636987006","0.0159154789881188","0.0"
"39","6.649243999999992E8","149059.99999999988","6.649243999999992E8","0.047900469653852515","8.967651040000185E15","1028258.4588793434","1.0","0.06712883874716835","0.031122545445603764","0.009804078184921917","0.026251291168161692","0.004364930467793947","0.008023163455613432","0.004753616194707771","0.0"
"40","9.29152E7","43380.0","9.29152E7","0.08396944575488945","1.09379227811248608E17","871973.6086243059","1.0","0.05173539902112517","0.05476193860000228","0.05166426278561824","0.01653685458577582","7.332205824295032E-4","0.0023704327393403845","0.002251361692835907","0.0"
"41","1.1280485999999971E9","163579.99999999977","1.1280485999999971E9","0.16444117955191198","1.74690346969299744E17","823588.2856694723","1.0","0.0663598526158196","0.032161071855290206","0.13248882973263498","0.07171132496609887","0.010461590411806106","0.01742677565229516","0.012510091056279857","0.0"
"42","5.2409979999999356E8","101099.99999999953","5.2409979999999356E8","0.21681890155904","2.44695977996317728E17","846013.1987270585","1.0","0.053676902798996284","0.051774114235891615","0.165454709690183","0.11960850057330454","0.028586907930199155","0.03424739872360986","0.03547894227207","0.0"
"43","4.819976E8","117820.0","4.819976E8","0.0660840978554221","1.92866946842527968E17","992816.4916846784","1.0","0.06274986669592582","0.05286256066348029","0.11739341243292432","0.06341734950129267","0.009026531541278023","0.016612947164387295","0.011836560728620903","0.0"
