"ID1","ID2","Dist","DistM","BC_d110000_p0.5_beta0_Pcoelestis"
"66","109","646788.2034329313","646788.2034329313","0.017161521267552403"
"66","69","380655.08232519345","380655.08232519345","0.09815711651045876"
"66","86","145718.64671345236","145718.64671345236","0.39922805993936233"
"66","84","84482.25849253772","84482.25849253772","0.5872226284739228"
"66","82","147131.83204187988","147131.83204187988","0.3956887328350636"
"66","79","57941.90625100259","57941.90625100259","0.6941192273150736"
"66","77","50304.07637557815","50304.07637557815","0.7382688374752499"
"66","72","16939.365395433208","16939.365395433208","0.9046506197161713"
"66","88","99775.30957105548","99775.30957105548","0.5332750481198066"
"66","71","21203.63412248004","21203.63412248004","0.8842510176108487"
"66","74","207419.10133832876","207419.10133832876","0.27147240386738375"
"66","73","14280.0","14280.0","0.9139466247037326"
"67","116","591332.2978664351","591332.2978664351","0.024084550980708334"
"67","114","546085.8087333885","546085.8087333885","0.032030354085562374"
"67","107","429318.89732458687","429318.89732458687","0.06685136986541255"
"67","108","279280.29952003347","279280.29952003347","0.18083333982145722"
"67","111","352176.6204619488","352176.6204619488","0.10869777839403627"
"67","101","281743.8950536455","281743.8950536455","0.16942185115656425"
"67","100","275209.33850434585","275209.33850434585","0.18491280631567703"
"67","102","251475.805595687","251475.805595687","0.21598610125959114"
"67","97","203573.16547128654","203573.16547128654","0.27726450841487993"
"67","103","211079.7036666477","211079.7036666477","0.2644548983607604"
"67","92","199935.7509301421","199935.7509301421","0.3073740773845628"
"67","93","175538.715102965","175538.715102965","0.33083722999261644"
"67","96","159341.89907240318","159341.89907240318","0.38032712567810373"
"67","85","106566.08278434537","106566.08278434537","0.510937039111007"
"67","83","91599.67248849725","91599.67248849725","0.5614679995097536"
"67","81","117459.2388873687","117459.2388873687","0.4845891112860479"
"67","80","55719.30006739114","55719.30006739114","0.7039090347808573"
"67","89","141659.7419876232","141659.7419876232","0.415620830886996"
"67","70","2674.471910489994","2674.471910489994","1.023346400126054"
"67","110","594750.5335853002","594750.5335853002","0.023571329885324115"
"67","105","368277.31561962864","368277.31561962864","0.10443994909894673"
"67","104","549768.7209181687","549768.7209181687","0.03129557594201448"
"67","106","480462.97391162143","480462.97391162143","0.048433691718365965"
"67","78","544137.8124152003","544137.8124152003","0.07947759490629935"
"67","68","8023.415731469983","8023.415731469983","0.9861087796428113"
"67","115","502616.1510536635","502616.1510536635","0.044793455678418456"
"67","113","498512.0095845226","498512.0095845226","0.04603213945212582"
"67","112","454044.4437497275","454044.4437497275","0.058111535821369034"
"67","99","291600.4197527839","291600.4197527839","0.1650870452656442"
"67","95","421892.65601572127","421892.65601572127","0.07116232088380114"
"67","94","284028.4395971639","284028.4395971639","0.16964236804254185"
"67","91","312325.67441694543","312325.67441694543","0.14193777328003504"
"67","90","233869.12322921102","233869.12322921102","0.23270308095959227"
"67","87","196419.29131325136","196419.29131325136","0.29463796324023966"
"67","69","727552.062741904","727552.062741904","0.019283349898443908"
"67","86","250816.83854956768","250816.83854956768","0.2121887364443299"
"67","84","322928.0237142634","322928.0237142634","0.13241158491649324"
"67","82","198420.05871383043","198420.05871383043","0.29094857415624065"
"67","79","310712.4522770207","310712.4522770207","0.14239298406366263"
"67","77","237298.01853365722","237298.01853365722","0.2274940931027381"
"67","72","304744.5915844938","304744.5915844938","0.15188895444512032"
"67","88","367462.0281063062","367462.0281063062","0.1001748193578974"
"67","71","353170.49990054365","353170.49990054365","0.11194432779912936"
"67","74","558122.0007310227","558122.0007310227","0.03053134097210834"
"67","73","188330.4754945411","188330.4754945411","0.3163073555563581"
"65","116","603019.4319422868","603019.4319422868","0.022374591671504747"
"65","114","670479.0016100421","670479.0016100421","0.014970138019610453"
"65","107","532413.5610594447","532413.5610594447","0.034912239587985686"
"65","108","349955.03825491574","349955.03825491574","0.11023013275870477"
"65","111","496155.97436693165","496155.97436693165","0.04656738530759656"
"65","101","414360.8330911592","414360.8330911592","0.07796961833974599"
"65","100","313335.4274575404","313335.4274575404","0.13884009033059716"
"65","102","417798.02632372454","417798.02632372454","0.08027666654084857"
"65","97","327362.3810091803","327362.3810091803","0.13267590515743322"
"65","103","287235.746556726","287235.746556726","0.16365912404238728"
"65","92","210497.17337769602","210497.17337769602","0.26542742215047743"
"65","93","358054.4635945763","358054.4635945763","0.11832649879053038"
"65","96","153597.14873655673","153597.14873655673","0.37989227594464464"
"65","85","218099.51054507183","218099.51054507183","0.2685475982832735"
"65","83","246432.05980553725","246432.05980553725","0.2632912782667079"
"65","81","126360.82937366291","126360.82937366291","0.4708257497324802"
"65","80","182234.42045892405","182234.42045892405","0.3455988776967894"
"65","89","49677.68211178939","49677.68211178939","0.7486345554953205"
"65","70","201748.78463078768","201748.78463078768","0.2858749552287482"
"65","67","177782.62935393874","177782.62935393874","0.3489864874668397"
"65","105","540245.1491684116","540245.1491684116","0.03669381134170689"
"65","106","667636.1059739048","667636.1059739048","0.014890962880210178"
"65","68","100295.40767153798","100295.40767153798","0.5315301991483821"
"65","118","726411.3970058551","726411.3970058551","0.010281966501967001"
"65","115","503928.85261711205","503928.85261711205","0.04177630229922937"
"65","113","467252.6255677962","467252.6255677962","0.052638013640571066"
"65","112","367996.3934605875","367996.3934605875","0.09838473098812414"
"65","99","244185.6474078683","244185.6474078683","0.2146607722664879"
"65","95","314469.8173116138","314469.8173116138","0.13785117589760965"
"65","94","217667.63769563864","217667.63769563864","0.25370138380715707"
"65","91","204565.24827056972","204565.24827056972","0.2755366100295257"
"65","90","169617.57367678598","169617.57367678598","0.3434143088070295"
"65","87","154346.00739896036","154346.00739896036","0.3781038588055291"
"65","69","502325.13385256735","502325.13385256735","0.0425088165517262"
"65","86","153216.4716993572","153216.4716993572","0.38080464576545586"
"65","84","166532.7670460079","166532.7670460079","0.35778856462809794"
"65","82","113459.99999999977","113459.99999999977","0.4892166649364215"
"65","79","144817.29351151385","144817.29351151385","0.40898872275197423"
"65","77","91038.03435927186","91038.03435927186","0.5717641815234525"
"65","72","115185.96485683488","115185.96485683488","0.5189225478955358"
"65","88","226715.32105263622","226715.32105263622","0.23964182435778597"
"65","71","155776.31045829787","155776.31045829787","0.393841679343579"
"65","74","344556.7755827766","344556.7755827766","0.11580019948924762"
"65","66","99128.24673119161","99128.24673119161","0.5598584572702356"
"65","73","11306.652908796661","11306.652908796661","1.037539666509703"
