"ID1","ID2","Dist","DistM","BC_d110000_p0.5_beta0_Cvroliki"
"15","29","214517.97244053896","214517.97244053896","0.2590573263710005"
"15","24","332399.1726824839","332399.1726824839","0.19093709818658952"
"15","25","92750.54069923259","92750.54069923259","0.5899833665800275"
"15","18","152640.7589734799","152640.7589734799","0.38218862266031245"
"15","19","73025.5023947114","73025.5023947114","0.6311836747721734"
"16","50","532822.1617950954","532822.1617950954","0.11128065527871799"
"16","31","465149.3688053326","465149.3688053326","0.2242495933836348"
"16","23","421160.33300870075","421160.33300870075","0.10301048579131908"
"16","22","418300.13016971404","418300.13016971404","0.10488388611127406"
"16","21","425009.26401667966","425009.26401667966","0.10054218308322802"
"16","20","419841.8370053177","419841.8370053177","0.10390754335999737"
"16","17","381777.56102212163","381777.56102212163","0.13718877005129196"
"16","33","515001.12436770427","515001.12436770427","0.04093548589173031"
"17","31","408744.770364098","408744.770364098","0.20765704416041178"
"17","23","207399.99999999953","207399.99999999953","0.27065847242039015"
"17","22","204959.99999999953","204959.99999999953","0.27485207434259334"
"17","21","203739.99999999953","203739.99999999953","0.2769731787342419"
"17","20","201299.99999999953","201299.99999999953","0.2812646211722032"
"17","33","61532.602740335606","61532.602740335606","0.6785902950254894"
"18","43","537298.8311917294","537298.8311917294","0.046360216182377255"
"18","38","421030.89257202897","421030.89257202897","0.07043549414471659"
"18","57","364597.5398984466","364597.5398984466","0.11617551834843017"
"18","36","395716.10139088304","395716.10139088304","0.08261690908605729"
"18","42","470364.31635488605","470364.31635488605","0.07127601583596604"
"18","41","430782.5768296571","430782.5768296571","0.06623762504696383"
