"Coord1","Coord2","Cost","Length"
"211147.61538456043-1131496.354163354","224237.61538456043-1124176.354163354","14997.68315440755","14997.68315440755"
"425347.6153845603-1048536.3541633543","437247.6153845603-1055856.3541633543","13971.127370402146","13971.127370402146"
"56447.615384560544-1000956.3541633543","70727.61538456054-988756.3541633543","18781.863592306276","18781.863592306276"
"530067.6153845603-1144916.354163354","550297.6153845603-1149796.354163354","20810.269099653662","20810.269099653662"
"942997.6153845601-1371836.3541633536","953707.6153845601-1349876.3541633536","24432.47224494484","24432.47224494484"
"346807.6153845603-1039996.3541633543","350377.6153845603-1024136.3541633543","16256.829334159844","16256.829334159844"
"543157.6153845603-1014376.3541633543","585997.6153845603-1085136.354163354","82717.85297020206","82717.85297020206"
"401547.6153845603-1111976.354163354","406307.6153845603-1105876.354163354","7737.415589200311","7737.415589200311"
"539587.6153845603-1097336.354163354","539587.6153845603-1124176.354163354","26840.0","26840.0"
"887067.6153845601-1558496.354163353","890637.6153845601-1554836.354163353","5112.778109795105","5112.778109795105"
"543157.6153845603-1174196.3541633538","544347.6153845603-1194936.3541633538","20774.11129266424","20774.11129266424"
"489607.6153845603-1043656.3541633543","518167.6153845603-1037556.3541633543","29204.170934988037","29204.170934988037"
"494367.6153845603-987536.3541633543","494367.6153845603-1000956.3541633543","13420.0","13420.0"
"551487.6153845603-1041216.3541633543","658587.6153845603-1159556.354163354","159608.1626985285","159608.1626985285"
"893017.6153845601-1554836.354163353","895397.6153845601-1554836.354163353","2380.0","2380.0"
"-87542.38461543934-1776876.3541633526","-44702.384615439456-1786636.3541633526","43937.71955848403","43937.71955848403"
"898967.6153845601-1519456.354163353","939427.6153845601-1519456.354163353","40460.0","40460.0"
"362277.6153845603-1174196.3541633538","392027.6153845603-1194936.3541633538","36265.825511078605","36265.825511078605"
"411067.6153845603-1179076.3541633538","428917.6153845603-1168096.354163354","20956.691055603096","20956.691055603096"
"496747.6153845603-1030236.3541633543","514597.6153845603-1032676.3541633543","18015.995670514578","18015.995670514578"
"170687.61538456043-957036.3541633543","221857.61538456043-970456.3541633543","52900.52268172782","52900.52268172782"
"909677.6153845601-2186796.354163352","912057.6153845601-2185576.354163352","2674.471910489994","2674.471910489994"
"339667.6153845603-1041216.3541633543","344427.6153845603-1041216.3541633543","4760.0","4760.0"
"533637.6153845603-1222996.3541633538","534827.6153845603-1227876.3541633538","5022.997113278087","5022.997113278087"
"891827.6153845601-1469436.3541633533","898967.6153845601-1457236.3541633533","14135.756081653362","14135.756081653362"
"889447.6153845601-1530436.354163353","890637.6153845601-1525556.354163353","5022.997113278087","5022.997113278087"
"415827.6153845603-1171756.354163354","497937.6153845603-1181516.3541633538","82688.02633997255","82688.02633997255"
"392027.6153845603-1194936.3541633538","396787.6153845603-1179076.3541633538","16558.90092971149","16558.90092971149"
"543157.6153845603-1014376.3541633543","553867.6153845603-1004616.3541633543","14490.055210384811","14490.055210384811"
"875167.6153845601-1549956.354163353","882307.6153845601-1549956.354163353","7140.0","7140.0"
"-238672.38461543928-860656.3541633545","-183932.38461543934-924096.3541633545","83792.01155241467","83792.01155241467"
"-350532.3846154392-2179476.354163352","-317212.3846154392-2231936.3541633515","62147.19623603266","62147.19623603266"
"578857.6153845603-1077816.354163354","741887.6153845601-1230316.3541633538","223237.61085444328","223237.61085444328"
"346807.6153845603-1039996.3541633543","349187.6153845603-1036336.3541633543","4365.775990588615","4365.775990588615"
"816857.6153845601-2572316.354163351","819237.6153845601-2572316.354163351","2380.0","2380.0"
"578857.6153845603-1179076.3541633538","584807.6153845603-1174196.3541633538","7695.251782755389","7695.251782755389"
"411067.6153845603-1176636.3541633538","452717.6153845603-1259596.3541633538","92828.25054906508","92828.25054906508"
"606227.6153845603-1100996.354163354","658587.6153845603-1159556.354163354","78554.71468982623","78554.71468982623"
"898967.6153845601-1519456.354163353","938237.6153845601-1518236.354163353","39288.946282637815","39288.946282637815"
"332527.6153845603-1118076.354163354","336097.6153845603-1136376.354163354","18644.969831029495","18644.969831029495"
"563387.6153845603-944836.3541633545","563387.6153845603-957036.3541633543","12199.999999999767","12199.999999999767"
"948947.6153845601-1323036.3541633536","1002497.6153845601-1307176.3541633536","55849.28021022294","55849.28021022294"
"220667.61538456043-1175416.3541633538","298017.6153845603-1202256.3541633538","81874.34335614534","81874.34335614534"
"-67312.38461543934-1809816.3541633526","-36372.384615439456-1834216.3541633524","39403.598820412095","39403.598820412095"
"528877.6153845603-1132716.354163354","545537.6153845603-1152236.354163354","25662.930463998066","25662.930463998066"
"969177.6153845601-1352316.3541633536","996547.6153845601-1384036.3541633536","41896.005776207356","41896.005776207356"
"852557.6153845601-1808596.3541633526","857317.6153845601-1797616.3541633526","11967.372309742854","11967.372309742854"
"408687.6153845603-1054636.3541633543","432487.6153845603-1068056.354163354","27322.818302656735","27322.818302656735"
"501507.6153845603-1177856.3541633538","506267.6153845603-1171756.354163354","7737.415589200128","7737.415589200128"
"438437.6153845603-1021696.3541633543","494367.6153845603-987536.3541633543","65536.78737930323","65536.78737930323"
"515787.6153845603-1203476.3541633538","518167.6153845603-1208356.3541633538","5429.4382766544095","5429.4382766544095"
"832327.6153845601-1795176.3541633526","837087.6153845601-1806156.3541633526","11967.372309742854","11967.372309742854"
"315867.6153845603-1135156.354163354","320627.6153845603-1137596.354163354","5348.943820979988","5348.943820979988"
"179017.61538456043-1118076.354163354","194487.61538456043-1103436.354163354","21299.07274977012","21299.07274977012"
"219477.61538456043-1194936.3541633538","230187.61538456043-1203476.3541633538","13698.018104820858","13698.018104820858"
"384887.6153845603-1157116.354163354","392027.6153845603-1194936.3541633538","38488.07607558453","38488.07607558453"
"326577.6153845603-1035116.3541633543","350377.6153845603-1024136.3541633543","26210.69247463714","26210.69247463714"
"401547.6153845603-1111976.354163354","421777.6153845603-1121736.354163354","22461.311181674144","22461.311181674144"
"533637.6153845603-1222996.3541633538","553867.6153845603-1209576.3541633538","24276.517460294835","24276.517460294835"
"336097.6153845603-1086356.354163354","344427.6153845603-1076596.354163354","12831.465231999033","12831.465231999033"
"-126812.38461543934-943616.3541633545","36217.615384560544-958256.3541633543","163686.01192527098","163686.01192527098"
"496747.6153845603-1179076.3541633538","506267.6153845603-1171756.354163354","12008.86339334396","12008.86339334396"
"439627.6153845603-1022916.3541633543","487227.6153845603-1009496.3541633543","49455.60028955265","49455.60028955265"
"541967.6153845603-1126616.354163354","549107.6153845603-1130276.354163354","8023.415731469983","8023.415731469983"
"458667.6153845603-1090016.354163354","465807.6153845603-1085136.354163354","8648.352444252027","8648.352444252027"
"243277.61538456043-1094896.354163354","244467.61538456043-1086356.354163354","8622.511235133301","8622.511235133301"
"443197.6153845603-1086356.354163354","458667.6153845603-1090016.354163354","15897.05947651955","15897.05947651955"
"452717.6153845603-1259596.3541633538","496747.6153845603-1181516.3541633538","89638.87159039878","89638.87159039878"
"532447.6153845603-1147356.354163354","545537.6153845603-1152236.354163354","13970.057265451705","13970.057265451705"
"332527.6153845603-1015596.3541633543","350377.6153845603-1024136.3541633543","19787.725993655764","19787.725993655764"
"908487.6153845601-2188016.354163352","908487.6153845601-2189236.354163352","1220.0","1220.0"
"909677.6153845601-2185576.354163352","909677.6153845601-2186796.354163352","1220.0","1220.0"
"220667.61538456043-1079036.354163354","242087.61538456043-1081476.354163354","21558.524995926786","21558.524995926786"
"406307.6153845603-1105876.354163354","415827.6153845603-1126616.354163354","22820.560904587775","22820.560904587775"
"36217.615384560544-958256.3541633543","56447.615384560544-1000956.3541633543","47249.792592137375","47249.792592137375"
"406307.6153845603-1105876.354163354","420587.6153845603-1108316.354163354","14486.95965342625","14486.95965342625"
"-189882.38461543934-2235596.3541633515","-185122.38461543934-2241696.3541633515","7737.415589200311","7737.415589200311"
"528877.6153845603-1179076.3541633538","543157.6153845603-1174196.3541633538","15090.818400603726","15090.818400603726"
"220667.61538456043-1091236.354163354","244467.61538456043-1086356.354163354","24295.151779727577","24295.151779727577"
"962037.6153845601-1351096.3541633536","963227.6153845601-1357196.3541633536","6214.989943676498","6214.989943676498"
"490797.6153845603-1035116.3541633543","490797.6153845603-1046096.3541633543","10980.0","10980.0"
"1000117.6153845601-1324256.3541633536","1003687.6153845601-1334016.3541633536","10392.425126023281","10392.425126023281"
"434867.6153845603-996076.3541633543","447957.6153845603-983876.3541633543","17893.800602443294","17893.800602443294"
"543157.6153845603-1125396.354163354","558627.6153845603-1098556.354163354","30979.13007171118","30979.13007171118"
"543157.6153845603-1014376.3541633543","545537.6153845603-1025356.3541633543","11234.98108587638","11234.98108587638"
"242087.61538456043-1081476.354163354","243277.61538456043-1094896.354163354","13472.657495832067","13472.657495832067"
"539587.6153845603-1124176.354163354","546727.6153845603-1125396.354163354","7243.479826713125","7243.479826713125"
"536017.6153845603-1120516.354163354","561007.6153845603-1122956.354163354","25108.83708975786","25108.83708975786"
"393217.6153845603-1065616.354163354","397977.6153845603-1071716.354163354","7737.415589200311","7737.415589200311"
"412257.6153845603-1069276.354163354","419397.6153845603-1070496.354163354","7243.479826713125","7243.479826713125"
"364657.6153845603-1154676.354163354","396787.6153845603-1179076.3541633538","40344.72580152192","40344.72580152192"
"909677.6153845601-2190456.354163352","912057.6153845601-2190456.354163352","2380.0","2380.0"
