"Coord1","Coord2","Cost","Length"
"223867.61538456043-1208656.3541633538","225867.61538456043-1210656.3541633538","2828.42712474619","2828.42712474619"
"68867.61538456054-973656.3541633543","70867.61538456054-986656.3541633543","13152.946437965906","13152.946437965906"
"895867.6153845601-1520656.354163353","937867.6153845601-1517656.354163353","42107.0065428546","42107.0065428546"
"-498132.38461543916-2340656.3541633515","-497132.38461543916-2338656.3541633515","2236.06797749979","2236.06797749979"
"-262132.38461543928-2037656.3541633522","-217132.38461543934-2036656.3541633522","45011.109739707535","45011.109739707535"
"412867.6153845603-1239656.3541633538","440867.6153845603-1289656.3541633536","57306.195127577404","57306.195127577404"
"444867.6153845603-1250656.3541633538","546867.6153845603-1294656.3541633536","111085.55261599044","111085.55261599044"
"463867.6153845603-1021656.3541633543","493867.6153845603-985656.3541633543","46861.49805543993","46861.49805543993"
"-605132.3846154391-2027656.3541633522","-592132.3846154391-2028656.3541633522","13038.404810405298","13038.404810405298"
"825867.6153845601-1537656.354163353","828867.6153845601-1530656.354163353","7615.773105863908","7615.773105863908"
"871867.6153845601-2475656.3541633515","874867.6153845601-2476656.3541633515","3162.2776601683795","3162.2776601683795"
"889867.6153845601-1533656.354163353","898867.6153845601-1519656.354163353","16643.316977093236","16643.316977093236"
"455867.6153845603-1155656.354163354","466867.6153845603-1163656.354163354","13601.470508735443","13601.470508735443"
"408867.6153845603-1107656.354163354","415867.6153845603-1106656.354163354","7071.067811865475","7071.067811865475"
"415867.6153845603-977656.3541633543","441867.6153845603-993656.3541633543","30528.675044947497","30528.675044947497"
"524867.6153845603-830656.3541633545","617867.6153845603-774656.3541633547","108558.73986004063","108558.73986004063"
"39867.615384560544-866656.3541633545","59867.615384560544-884656.3541633545","26907.24809414742","26907.24809414742"
"327867.6153845603-937656.3541633545","333867.6153845603-931656.3541633545","8485.28137423857","8485.28137423857"
"-111132.38461543934-1752656.3541633526","-106132.38461543934-1745656.3541633526","8602.325267042626","8602.325267042626"
"547867.6153845603-1124656.354163354","552867.6153845603-1095656.354163354","29427.877939124322","29427.877939124322"
"442867.6153845603-1023656.3541633543","493867.6153845603-1002656.3541633543","55154.32893255071","55154.32893255071"
"410867.6153845603-1176656.3541633538","427867.6153845603-1167656.354163354","19235.384061671237","19235.384061671237"
"653867.6153845603-2704656.3541633505","655867.6153845603-2704656.3541633505","2000.0","2000.0"
"577867.6153845603-1184656.3541633538","582867.6153845603-1194656.3541633538","11180.339887498949","11180.339887498949"
"534867.6153845603-1217656.3541633538","573867.6153845603-1229656.3541633538","40804.41152620633","40804.41152620633"
