"ID1","ID2","Dist","DistM","BC_d10000_p0.01_beta0_Cvroliki","BC_d20000_p0.01_beta0_Cvroliki","BC_d50000_p0.01_beta0_Cvroliki","CF_beta0_Cvroliki","BC_d542300_p1.0E-10_beta0_Cvroliki"
"115","118","125924.58060283524","125924.58060283524","6.532567101593087E-26","2.555888710721397E-13","9.183680704342877E-6","18.06379778485104","0.0047638000006305385"
"115","117","51088.15909777895","51088.15909777895","6.058542802449657E-11","7.783664177268735E-6","0.009046355200373663","23.884042209122246","0.11427085495967287"
"115","127","532400.2253943923","532400.2253943923","3.310967525335832E-107","5.754100733681877E-54","5.058141613991609E-22","22.942490906728903","1.522480099615705E-10"
"115","135","286722.862708923","286722.862708923","4.523009065593999E-58","2.1267367175073645E-29","3.3969213501162508E-12","17.470776193571275","5.1622229380063564E-6"
"115","123","505034.6522764549","505034.6522764549","9.841686906449745E-102","3.137146299816084E-51","6.289467958163001E-21","23.87971868210644","4.866000927955137E-10"
"115","119","436479.0945738407","436479.0945738407","5.060356167333487E-88","2.2495235422936757E-44","3.4740512186134534E-18","24.61779541735353","8.939951329937429E-9"
"115","120","179002.7932742949","179002.7932742949","1.5828557752447444E-36","1.2581159625585966E-18","6.916530064100155E-8","25.321807163774874","5.002561690787673E-4"
"115","130","292796.85790663766","292796.85790663766","2.7582169225099455E-59","5.251872925452353E-30","1.9414476463842084E-12","10.21926521926382","3.9887096070641215E-6"
"115","124","293777.1264070773","293777.1264070773","1.7562030157355586E-59","4.1907075962605155E-30","1.7738420410939459E-12","10.859230998676688","3.8260997627182215E-6"
"115","121","280786.395681842","280786.395681842","6.961789115608591E-57","8.343733646041555E-29","5.86873058299477E-12","19.40509360131703","6.642094907673486E-6"
"111","132","350925.9181080808","350925.9181080808","6.52854464548316E-71","8.079940993276597E-36","9.182549447550027E-15","12.396425936186832","3.380133361660083E-7"
"111","128","261400.07651108253","261400.07651108253","5.247889691654142E-53","7.244231975616285E-27","3.4994270099764415E-11","13.652646800009485","1.5128262147199645E-5"
"111","125","453282.47263709595","453282.47263709595","2.205491927804494E-91","4.696266525448173E-46","7.390975081027763E-19","10.655124139042183","4.389071264637871E-9"
"111","136","286400.0698323936","286400.0698323936","5.247905832350396E-58","2.290830817050966E-29","3.4994291625787216E-12","14.54099767252606","5.233461694241545E-6"
"111","122","499924.9943741558","499924.9943741558","1.0351448485260512E-100","1.0174206841449859E-50","1.0069321906030909E-20","10.503021972798662","6.044974287470427E-10"
"111","118","426792.6897218365","426792.6897218365","4.379878424419247E-86","2.0928159079143216E-43","8.477982280988703E-18","11.46921466088007","1.3499548465998399E-8"
