"ID1","ID2","Dist","DistM","BC_d654500_p1.0E-10_beta0_Clunulatus"
"10","33","388785.28778748726","388785.28778748726","1.1476573883770324E-6"
"10","32","385648.8039654723","385648.8039654723","1.2815456705461827E-6"
"10","24","213122.03077110497","213122.03077110497","5.542974049465078E-4"
"10","29","111139.55191559803","111139.55191559803","0.02004087600692357"
"10","22","181400.11025354947","181400.11025354947","0.001692064662459036"
"10","13","103585.71330062808","103585.71330062808","0.026141504806596962"
"10","14","149264.86525636233","149264.86525636233","0.005240903751467884"
"10","17","178474.08775505758","178474.08775505758","0.0018755264002637889"
"10","11","232544.6193744327","232544.6193744327","2.798905559992968E-4"
"10","12","249803.92310770415","249803.92310770415","1.525057172569656E-4"
"9","25","562920.9535982824","562920.9535982824","2.5175554363264794E-9"
"9","39","426057.50785545324","426057.50785545324","3.092687334686951E-7"
"9","10","1000.0","1000.0","0.9654308250167103"
"9","15","45276.92569068708","45276.92569068708","0.20333921875855993"
"9","44","588722.3454226945","588722.3454226945","1.0308281089598817E-9"
"9","36","394707.4866277549","394707.4866277549","9.318112205918582E-7"
"9","33","394366.58073421905","394366.58073421905","9.430540437850952E-7"
"9","32","391256.9488200808","391256.9488200808","1.0520785023564139E-6"
"9","24","218233.81956058004","218233.81956058004","4.630636049451457E-4"
"9","29","115883.56225107987","115883.56225107987","0.01696030788437019"
"9","22","184285.10520386582","184285.10520386582","0.0015287539170913723"
"9","13","108300.50784737767","108300.50784737767","0.022145933819735415"
"9","14","150216.51041080672","150216.51041080672","0.005068344785788336"
"9","17","176207.264322445","176207.264322445","0.002031223028370418"
"9","11","230841.9372644403","230841.9372644403","2.971688272402242E-4"
"9","12","248211.6032743026","248211.6032743026","1.612927784670585E-4"
"12","21","639175.2498337206","639175.2498337206","1.7145272324767386E-10"
"12","20","639916.4007899775","639916.4007899775","1.6704609609101748E-10"
"12","18","620945.2471836782","620945.2471836782","3.255951806078268E-10"
"12","19","611733.6021504779","611733.6021504779","4.5021597308873036E-10"
"12","16","613417.4761123123","613417.4761123123","4.2465719663400315E-10"
"12","25","424378.3689115171","424378.3689115171","3.280887574897605E-7"
"12","39","441367.1940686113","441367.1940686113","1.804769686880918E-7"
"12","15","172513.7675665332","172513.7675665332","0.002313076269853516"
"12","36","607187.7798506805","607187.7798506805","5.282941301898022E-10"
"12","33","608802.1024930831","608802.1024930831","4.991267086132268E-10"
"12","32","604632.9465055625","604632.9465055625","5.783404964675331E-10"
"12","24","452624.568489161","452624.568489161","1.2145689585223375E-7"
"12","29","356349.5474951517","356349.5474951517","3.592466313298999E-6"
"12","22","435214.889451176","435214.889451176","2.2408968035558345E-7"
"12","13","352210.16453248396","352210.16453248396","4.155637622881391E-6"
"12","14","396913.08872346306","396913.08872346306","8.622414498403627E-7"
"12","17","362667.8921547919","362667.8921547919","2.8764427511830365E-6"
"11","21","650938.5531676543","650938.5531676543","1.1334823765406856E-10"
"11","20","651832.033579203","651832.033579203","1.0984474824763517E-10"
"11","18","633060.0287492484","633060.0287492484","2.1260730048175386E-10"
"11","19","623963.1399369672","623963.1399369672","2.927977685696404E-10"
"11","16","625703.6039531811","625703.6039531811","2.756263421417047E-10"
"11","25","435790.0870832191","435790.0870832191","2.1960061212034356E-7"
"11","39","442108.5839474271","442108.5839474271","1.7583050014920252E-7"
"11","15","154841.85480676682","154841.85480676682","0.004307212113776793"
"11","36","594375.3023132761","594375.3023132761","8.291546952368877E-10"
"11","33","595829.6736484332","595829.6736484332","7.877972476217888E-10"
"11","32","591738.1177514242","591738.1177514242","9.10335781694662E-10"
"11","24","437476.8565307189","437476.8565307189","2.0694818732124823E-7"
"11","29","340834.2705773576","340834.2705773576","6.200805648899158E-6"
"11","22","417929.4198785237","417929.4198785237","4.116458680210071E-7"
"11","13","335882.4199031552","335882.4199031552","7.380854562568689E-6"
"11","14","378846.9347902919","378846.9347902919","1.6280163057270593E-6"
"11","17","344106.0882925494","344106.0882925494","5.526606507208397E-6"
"11","12","14142.13562373095","14142.13562373095","0.6080294142966783"
"3","39","608383.1029869247","608383.1029869247","5.065387064825368E-10"
"3","10","197091.34937891067","197091.34937891067","9.742558951112398E-4"
"3","15","167737.89077009368","167737.89077009368","0.0027362753928896573"
"3","7","235161.64653276242","235161.64653276242","2.552719936395766E-4"
"3","5","233385.94644922367","233385.94644922367","2.717275944560512E-4"
"3","6","251097.59058979416","251097.59058979416","1.4572041125246164E-4"
"3","4","257720.77913897415","257720.77913897415","1.1543187709625392E-4"
"3","36","565056.6343296913","565056.6343296913","2.325898544556308E-9"
"3","33","563199.7869317764","563199.7869317764","2.482911492470373E-9"
"3","32","561089.1194810307","561089.1194810307","2.674297921970665E-9"
"3","24","381047.24116571073","381047.24116571073","1.5067480007846877E-6"
"3","29","282708.33026283374","282708.33026283374","4.792310978575582E-5"
"3","22","295169.44286290795","295169.44286290795","3.0913890293392265E-5"
"3","13","276045.2861397917","276045.2861397917","6.058269414109379E-5"
"3","14","231164.44363266553","231164.44363266553","2.938161931946582E-4"
"3","9","193940.7125902136","193940.7125902136","0.0010884565921464705"
"3","8","190790.46097748136","190790.46097748136","0.001216027231537422"
"3","17","113899.07813498721","113899.07813498721","0.018186718502892985"
"3","11","249851.95616604624","249851.95616604624","1.5224822420800932E-4"
"3","12","266655.2080871474","266655.2080871474","8.429815281765602E-5"
"13","25","610000.8196715801","610000.8196715801","4.94672327941823E-10"
"13","48","640153.1066862042","640153.1066862042","1.6567031068589524E-10"
"13","50","651676.3000140474","651676.3000140474","1.1044958770337469E-10"
"13","39","416803.3109273483","416803.3109273483","4.282815828947126E-7"
"13","15","155322.24567009028","155322.24567009028","0.004235029550934304"
"13","47","612243.4156444632","612243.4156444632","4.930279539419729E-10"
"13","44","486037.0356258863","486037.0356258863","3.749213087069913E-8"
"13","36","285686.8915438714","285686.8915438714","4.315548828827317E-5"
"13","33","284548.7655921209","284548.7655921209","4.491850335089432E-5"
"13","32","281937.9364328251","281937.9364328251","4.923973597021815E-5"
"13","24","104120.12293500233","104120.12293500233","0.025654610476155852"
"13","29","1000.0","1000.0","0.9654308250167103"
"13","22","87863.53054595519","87863.53054595519","0.04545140153894057"
"13","14","94810.33698916993","94810.33698916993","0.0355965693067503"
"13","17","185283.56645962934","185283.56645962934","0.0014759860547253793"
"16","21","33526.10922848042","33526.10922848042","0.30743972380128015"
"16","20","31016.124838541644","31016.124838541644","0.3358223745519397"
"16","54","643746.8446524601","643746.8446524601","1.5938168946144817E-10"
"16","51","621696.0672225606","621696.0672225606","3.171071257252789E-10"
"16","72","548716.6846378912","548716.6846378912","4.1348078767064735E-9"
"16","49","602276.5145678511","602276.5145678511","6.279343137511612E-10"
"16","43","528781.618439975","528781.618439975","8.333566149762824E-9"
